Item,Cost,Links
rpi 4 2gb,$40,https://www.cytron.io/p-raspberry-pi-3-model-b-plus?currency=IDR&src=raspberrypi
rpi hq camera,$55,https://www.cytron.io/p-official-raspberry-pi-high-quality-camera-module?currency=IDR&src=raspberrypi
waveshare 2.8' (a) tft,$15,
"ricoh rikenon 35-70mm f3,4 lens",$13,
viewfinder 35mm ky-vf03,$6,
4800mah mini powerbank,$9,
inmp441 i2s microphone,$3,
high power white led (3w),$1,
irlz44n,$1,
heatsink pad,$1,
6x6mm tactile push buttons,$1,
12x12mm tactile push buttons,$1,
m2.5 screws,$1,
m2 screws,$1,
3dp case,$10,
,,
,,
total,$158,